a	AW1
weilemeuileme	W AH1 JH L AH1 M AH1 W JH L AH1 M AH1
weilen	W AH1 JH L AH1 N
weilenambi	W AH1 JH L AH1 N AW1 M P IY1
weilendumbi	W AH1 JH L AH1 N T UW1 M P IY1
weilenehe	W AH1 JH L AH1 N AH1 HH AH1
weilenembi	W AH1 JH L AH1 N AH1 M P IY1
weilengge	W AH1 JH L AH1 NG NG AH1
weilenjihe	W AH1 JH L AH1 N JH IY1 HH AH1
weilenjimbi	W AH1 JH L AH1 N JH IY1 M P IY1
weilenumbi	W AH1 JH L AH1 N UW1 M P IY1
weileqi	W AH1 JH L AH1 K IY1
weileqibe	W AH1 JH L AH1 K IY1 P AH1
weileqina	W AH1 JH L AH1 K IY1 N AW1
weilera	W AH1 JH L AH1 R AW1
weilerakv	W AH1 JH L AH1 R AW1 K AO1
weilerakvkiqerakv	W AH1 JH L AH1 R AW1 K AO1 K IY1 CH AH1 R AW1 K AO1
weilerakvqi	W AH1 JH L AH1 R AW1 K AO1 K IY1
weilerangge	W AH1 JH L AH1 R AW1 NG NG AH1
weilere	W AH1 JH L AH1 R AH1
weilerengge	W AH1 JH L AH1 R AH1 NG NG AH1
weilereuilere	W AH1 JH L AH1 R AH1 W JH L AH1 R AH1
weiletere	W AH1 JH L AH1 T AH1 R AH1
weileu	W AH1 JH L AH1 W
weilnengge	W AH1 JH L N AH1 NG NG AH1
weilqi	W AH1 JH L K IY1
weilufi	W AH1 JH L UW1 F IY1
weiluhe	W AH1 JH L UW1 HH AH1
weilumbi	W AH1 JH L UW1 M P IY1
weimbuhe	W AH1 JH M P UW1 HH AH1
weimbume	W AH1 JH M P UW1 M AH1
weime	W AH1 JH M AH1
weimiyefi	W AH1 JH M JH AE1 F IY1
weingge	W AH1 JH NG NG AH1
weiping	W AH1 JH P IY1 NG
weiqun	W AH1 JH CH UW1 N
weirengge	W AH1 JH R AH1 NG NG AH1
weiri	W AH1 JH R IY1
weirihe	W AH1 JH R IY1 HH AH1
weirimbi	W AH1 JH R IY1 M P IY1
weirime	W AH1 JH R IY1 M AH1
weirirkv	W AH1 JH R IY1 R K AO1
weise	W AH1 JH S AH1
weisei	W AH1 JH S AH1 JH
weiseme	W AH1 JH S AH1 M AH1
weisha	W AH1 JH S HH AW1
weishuken	W AH1 JH S HH UW1 K AH1 N
weisihulembi	W AH1 JH S IY1 HH UW1 L AH1 M P IY1
weisihuleqi	W AH1 JH S IY1 HH UW1 L AH1 K IY1
weisimbu	W AH1 JH S IY1 M P UW1
weisimbume	W AH1 JH S IY1 M P UW1 M AH1
weite	W AH1 JH T AH1
weixehe	W AH1 JH SH AH1 HH AH1
weixeme	W AH1 JH SH AH1 M AH1
wejebumbi	W AH1 JH AH1 P UW1 M P IY1
wejehun	W AH1 JH AH1 HH UW1 N
wejeme	W AH1 JH AH1 M AH1
wejergi	W AH1 JH AH1 R K IY1
wejeu	W AH1 JH AH1 W
weji	W AH1 JH IY1
wejihe	W AH1 JH IY1 HH AH1
wejile	W AH1 JH IY1 L AH1
wejinggala	W AH1 JH IY1 NG N AW1 L AW1
wek'ji	W AH1 K JH IY1
wek'jimbi	W AH1 K JH IY1 M P IY1
weke	W AH1 K AH1
wekeji	W AH1 K AH1 JH IY1
wekji	W AH1 K JH IY1
wekjibumbi	W AH1 K JH IY1 P UW1 M P IY1
wekjihe	W AH1 K JH IY1 HH AH1
wekjimbi	W AH1 K JH IY1 M P IY1
wekjime	W AH1 K JH IY1 M AH1
wekjin	W AH1 K JH IY1 N
wekjire	W AH1 K JH IY1 R AH1
wekqafi	W AH1 K CH AW1 F IY1
wekqe	W AH1 K CH AH1
weksibume	W AH1 K S IY1 P UW1 M AH1
weksirengge	W AH1 K S IY1 R AH1 NG NG AH1
wekufi	W AH1 K UW1 F IY1
wekuhe	W AH1 K UW1 HH AH1
wekui	W AH1 K UW1 JH
wekume	W AH1 K UW1 M AH1
wekuqeme	W AH1 K UW1 CH AH1 M AH1
wekure	W AH1 K UW1 R AH1
welbu	W AH1 L P UW1
welderhen	W AH1 L T AH1 R HH AH1 N
wele	W AH1 L AH1
welere	W AH1 L AH1 R AH1
welgiyan	W AH1 L K JH AW1 N
welh'vme	W AH1 L HH AO1 M AH1
welhudeme	W AH1 L HH UW1 T AH1 M AH1
welhvma	W AH1 L HH AO1 M AW1
welhvme	W AH1 L HH AO1 M AH1
welifi	W AH1 L IY1 F IY1
weliya	W AH1 L JH AW1
weliyabufi	W AH1 L JH AW1 P UW1 F IY1
weliyafi	W AH1 L JH AW1 F IY1
weliyaha	W AH1 L JH AW1 HH AW1
weliyehe	W AH1 L JH AE1 HH AH1
weliyere	W AH1 L JH AE1 R AH1
wellere	W AH1 L L AH1 R AH1
welmiyebumbi	W AH1 L M JH AE1 P UW1 M P IY1
welmiyehe	W AH1 L M JH AE1 HH AH1
welmiyeke	W AH1 L M JH AE1 K AH1
welmiyeki	W AH1 L M JH AE1 K IY1
welmiyeku	W AH1 L M JH AE1 K UW1
welmiyembi	W AH1 L M JH AE1 M P IY1
welmiyeme	W AH1 L M JH AE1 M AH1
welmiyeneki	W AH1 L M JH AE1 N AH1 K IY1
welmiyeneqeqi	W AH1 L M JH AE1 N AH1 CH AH1 K IY1
welmiyeqi	W AH1 L M JH AE1 K IY1
welmiyerakv	W AH1 L M JH AE1 R AW1 K AO1
welmiyere	W AH1 L M JH AE1 R AH1
welmiyerengge	W AH1 L M JH AE1 R AH1 NG NG AH1
welsihun	W AH1 L S IY1 HH UW1 N
wembi	W AH1 M P IY1
wembu	W AH1 M P UW1
wembufi	W AH1 M P UW1 F IY1
wembuhe	W AH1 M P UW1 HH AH1
wembuhebi	W AH1 M P UW1 HH AH1 P IY1
wembumbi	W AH1 M P UW1 M P IY1
wembume	W AH1 M P UW1 M AH1
wembuqi	W AH1 M P UW1 K IY1
wembure	W AH1 M P UW1 R AH1
wemburengge	W AH1 M P UW1 R AH1 NG NG AH1
wemburi	W AH1 M P UW1 R IY1
weme	W AH1 M AH1
wempi	W AH1 M P IY1
wempilefi	W AH1 M P IY1 L AH1 F IY1
wempiwemburi	W AH1 M P IY1 W AH1 M P UW1 R IY1
wemsbure	W AH1 M S P UW1 R AH1
wen	W AH1 N
wen'	W AH1 N
wendeden	W AH1 N T AH1 T AH1 N
wendehen	W AH1 N T AH1 HH AH1 N
wendembi	W AH1 N T AH1 M P IY1
wenderakv	W AH1 N T AH1 R AW1 K AO1
wendere	W AH1 N T AH1 R AH1
wenderegen	W AH1 N T AH1 R AH1 K AH1 N
wenderehen	W AH1 N T AH1 R AH1 HH AH1 N
wenderengge	W AH1 N T AH1 R AH1 NG NG AH1
wenderhen	W AH1 N T AH1 R HH AH1 N
wenduken	W AH1 N T UW1 K AH1 N
wendumbi	W AH1 N T UW1 M P IY1
wenefi	W AH1 N AH1 F IY1
wenehe	W AH1 N AH1 HH AH1
wenembi	W AH1 N AH1 M P IY1
wenere	W AH1 N AH1 R AH1
weng	W AH1 NG
wengge	W AH1 NG NG AH1
wengke	W AH1 NG K AH1
wengkebi	W AH1 NG K AH1 P IY1
wengkekv	W AH1 NG K AH1 K AO1
wengkeme	W AH1 NG K AH1 M AH1
weniye	W AH1 N JH AE1
weniyebumbi	W AH1 N JH AE1 P UW1 M P IY1
weniyefi	W AH1 N JH AE1 F IY1
weniyembi	W AH1 N JH AE1 M P IY1
weniyen	W AH1 N JH AE1 N
weniyere	W AH1 N JH AE1 R AH1
wenje	W AH1 N JH AH1
wenjebufi	W AH1 N JH AH1 P UW1 F IY1
wenjebumbi	W AH1 N JH AH1 P UW1 M P IY1
wenjebume	W AH1 N JH AH1 P UW1 M AH1
wenjeburakv	W AH1 N JH AH1 P UW1 R AW1 K AO1
wenjeduhe	W AH1 N JH AH1 T UW1 HH AH1
wenjefi	W AH1 N JH AH1 F IY1
wenjehe	W AH1 N JH AH1 HH AH1
wenjehebi	W AH1 N JH AH1 HH AH1 P IY1
wenjehu	W AH1 N JH AH1 HH UW1
wenjehun	W AH1 N JH AH1 HH UW1 N
wenjembi	W AH1 N JH AH1 M P IY1
wenjeme	W AH1 N JH AH1 M AH1
wenjen	W AH1 N JH AH1 N
wenjendufi	W AH1 N JH AH1 N T UW1 F IY1
wenjenduhe	W AH1 N JH AH1 N T UW1 HH AH1
wenjenduhebi	W AH1 N JH AH1 N T UW1 HH AH1 P IY1
wenjengge	W AH1 N JH AH1 NG NG AH1
wenjenufi	W AH1 N JH AH1 N UW1 F IY1
wenjenuhebihebi	W AH1 N JH AH1 N UW1 HH AH1 P IY1 HH AH1 P IY1
wenjeqi	W AH1 N JH AH1 K IY1
wenjerakv	W AH1 N JH AH1 R AW1 K AO1
wenjere	W AH1 N JH AH1 R AH1
wenjerengge	W AH1 N JH AH1 R AH1 NG NG AH1
wenqe	W AH1 N CH AH1
wenqehebi	W AH1 N CH AH1 HH AH1 P IY1
wenqeme	W AH1 N CH AH1 M AH1
wenqen	W AH1 N CH AH1 N
wenqeu	W AH1 N CH AH1 W
wenqhun	W AH1 N CH HH UW1 N
wenrirengge	W AH1 N R IY1 R AH1 NG NG AH1
wenzung	W AH1 N D UW1 NG
weqe	W AH1 CH AH1
weqebuhe	W AH1 CH AH1 P UW1 HH AH1
weqebumbi	W AH1 CH AH1 P UW1 M P IY1
weqebume	W AH1 CH AH1 P UW1 M AH1
weqefi	W AH1 CH AH1 F IY1
weqehe	W AH1 CH AH1 HH AH1
weqehede	W AH1 CH AH1 HH AH1 T AH1
weqehekv	W AH1 CH AH1 HH AH1 K AO1
weqeki	W AH1 CH AH1 K IY1
weqekini	W AH1 CH AH1 K IY1 N IY1
weqeku	W AH1 CH AH1 K UW1
weqembe	W AH1 CH AH1 M P AH1
weqembi	W AH1 CH AH1 M P IY1
weqembihe	W AH1 CH AH1 M P IY1 HH AH1
weqeme	W AH1 CH AH1 M AH1
weqen	W AH1 CH AH1 N
weqenekini	W AH1 CH AH1 N AH1 K IY1 N IY1
weqenembihe	W AH1 CH AH1 N AH1 M P IY1 HH AH1
weqeneqi	W AH1 CH AH1 N AH1 K IY1
weqenere	W AH1 CH AH1 N AH1 R AH1
weqent	W AH1 CH AH1 N T
weqeqi	W AH1 CH AH1 K IY1
weqeqibe	W AH1 CH AH1 K IY1 P AH1
weqerakv	W AH1 CH AH1 R AW1 K AO1
weqere	W AH1 CH AH1 R AH1
weqerengge	W AH1 CH AH1 R AH1 NG NG AH1
weqesi	W AH1 CH AH1 S IY1
weqi	W AH1 K IY1
weqihiyame	W AH1 K IY1 HH JH AW1 M AH1
weqiki	W AH1 K IY1 K IY1
weqiku	W AH1 K IY1 K UW1
weqingge	W AH1 K IY1 NG NG AH1
wequ	W AH1 CH UW1
wequhe	W AH1 CH UW1 HH AH1
wer	W AH1 R
werdan	W AH1 R T AW1 N
werdehe	W AH1 R T AH1 HH AH1
werdeme	W AH1 R T AH1 M AH1
were	W AH1 R AH1
werebumbi	W AH1 R AH1 P UW1 M P IY1
weredeme	W AH1 R AH1 T AH1 M AH1
werefi	W AH1 R AH1 F IY1
werehe	W AH1 R AH1 HH AH1
werembi	W AH1 R AH1 M P IY1
wereme	W AH1 R AH1 M AH1
weren	W AH1 R AH1 N
werenehe	W AH1 R AH1 N AH1 HH AH1
werere	W AH1 R AH1 R AH1
werexebumbi	W AH1 R AH1 SH AH1 P UW1 M P IY1
werexembi	W AH1 R AH1 SH AH1 M P IY1
werexeme	W AH1 R AH1 SH AH1 M AH1
werexere	W AH1 R AH1 SH AH1 R AH1
wergi	W AH1 R K IY1
werguwehe	W AH1 R K UW1 AH1 HH AH1
werguweme	W AH1 R K UW1 AH1 M AH1
werguwequke	W AH1 R K UW1 AH1 CH UW1 K AH1
werguwequn	W AH1 R K UW1 AH1 CH UW1 N
weri	W AH1 R IY1
weribumbi	W AH1 R IY1 P UW1 M P IY1
werifi	W AH1 R IY1 F IY1
werige	W AH1 R IY1 K AH1
werihe	W AH1 R IY1 HH AH1
werihebi	W AH1 R IY1 HH AH1 P IY1
werihekv	W AH1 R IY1 HH AH1 K AO1
werihekvbi	W AH1 R IY1 HH AH1 K AO1 P IY1
werihengge	W AH1 R IY1 HH AH1 NG NG AH1
weriheni	W AH1 R IY1 HH AH1 N IY1
werihukeleme	W AH1 R IY1 HH UW1 K AH1 L AH1 M AH1
weriki	W AH1 R IY1 K IY1
werimbi	W AH1 R IY1 M P IY1
werime	W AH1 R IY1 M AH1
weringge	W AH1 R IY1 NG NG AH1
werinjeme	W AH1 R IY1 N JH AH1 M AH1
weriqi	W AH1 R IY1 K IY1
werirahv	W AH1 R IY1 R AW1 HH AO1
werirakv	W AH1 R IY1 R AW1 K AO1
werire	W AH1 R IY1 R AH1
werirengge	W AH1 R IY1 R AH1 NG NG AH1
werise	W AH1 R IY1 S AH1
werisembi	W AH1 R IY1 S AH1 M P IY1
werixe	W AH1 R IY1 SH AH1
werixebume	W AH1 R IY1 SH AH1 P UW1 M AH1
werixebuqi	W AH1 R IY1 SH AH1 P UW1 K IY1
werixefi	W AH1 R IY1 SH AH1 F IY1
werixehei	W AH1 R IY1 SH AH1 HH AH1 JH
werixeki	W AH1 R IY1 SH AH1 K IY1
werixembi	W AH1 R IY1 SH AH1 M P IY1
werixeme	W AH1 R IY1 SH AH1 M AH1
werixeqi	W AH1 R IY1 SH AH1 K IY1
werixere	W AH1 R IY1 SH AH1 R AH1
werixereu	W AH1 R IY1 SH AH1 R AH1 W
werki	W AH1 R K IY1
werukebi	W AH1 R UW1 K AH1 P IY1
werwen	W AH1 R W AH1 N
wesambume	W AH1 S AW1 M P UW1 M AH1
weser	W AH1 S AH1 R
wesheleme	W AH1 S HH AH1 L AH1 M AH1
weshiyehe	W AH1 S HH JH AE1 HH AH1
weshun	W AH1 S HH UW1 N
wesi	W AH1 S IY1
wesibufi	W AH1 S IY1 P UW1 F IY1
wesibuhe	W AH1 S IY1 P UW1 HH AH1
wesibuhengge	W AH1 S IY1 P UW1 HH AH1 NG NG AH1
wesibuki	W AH1 S IY1 P UW1 K IY1
wesibumbi	W AH1 S IY1 P UW1 M P IY1
wesibume	W AH1 S IY1 P UW1 M AH1
wesibun	W AH1 S IY1 P UW1 N
wesiburakv	W AH1 S IY1 P UW1 R AW1 K AO1
wesibure	W AH1 S IY1 P UW1 R AH1
wesifi	W AH1 S IY1 F IY1
wesihe	W AH1 S IY1 HH AH1
wesihen	W AH1 S IY1 HH AH1 N
wesihukeleme	W AH1 S IY1 HH UW1 K AH1 L AH1 M AH1
wesihule	W AH1 S IY1 HH UW1 L AH1
wesihulebumbi	W AH1 S IY1 HH UW1 L AH1 P UW1 M P IY1
wesihulebure	W AH1 S IY1 HH UW1 L AH1 P UW1 R AH1
wesihulefi	W AH1 S IY1 HH UW1 L AH1 F IY1
wesihulehe	W AH1 S IY1 HH UW1 L AH1 HH AH1
wesihulehebi	W AH1 S IY1 HH UW1 L AH1 HH AH1 P IY1
wesihulehekv	W AH1 S IY1 HH UW1 L AH1 HH AH1 K AO1
wesihulehengge	W AH1 S IY1 HH UW1 L AH1 HH AH1 NG NG AH1
wesihuleheni	W AH1 S IY1 HH UW1 L AH1 HH AH1 N IY1
wesihulembi	W AH1 S IY1 HH UW1 L AH1 M P IY1
wesihulembime	W AH1 S IY1 HH UW1 L AH1 M P IY1 M AH1
wesihuleme	W AH1 S IY1 HH UW1 L AH1 M AH1
wesihulen	W AH1 S IY1 HH UW1 L AH1 N
wesihuleqi	W AH1 S IY1 HH UW1 L AH1 K IY1
wesihulerakv	W AH1 S IY1 HH UW1 L AH1 R AW1 K AO1
wesihulere	W AH1 S IY1 HH UW1 L AH1 R AH1
wesihulerengge	W AH1 S IY1 HH UW1 L AH1 R AH1 NG NG AH1
wesihun	W AH1 S IY1 HH UW1 N
wesihvn	W AH1 S IY1 HH AO1 N
wesike	W AH1 S IY1 K AH1
wesikebi	W AH1 S IY1 K AH1 P IY1
wesikei	W AH1 S IY1 K AH1 JH
wesikengge	W AH1 S IY1 K AH1 NG NG AH1
wesiki	W AH1 S IY1 K IY1
wesikkvngge	W AH1 S IY1 K K AO1 NG NG AH1
wesiku	W AH1 S IY1 K UW1
wesikun	W AH1 S IY1 K UW1 N
wesimbi	W AH1 S IY1 M P IY1
wesimbikai	W AH1 S IY1 M P IY1 K AW1 JH
wesimbu	W AH1 S IY1 M P UW1
wesimbubufi	W AH1 S IY1 M P UW1 P UW1 F IY1
wesimbubuhe	W AH1 S IY1 M P UW1 P UW1 HH AH1
wesimbubure	W AH1 S IY1 M P UW1 P UW1 R AH1
wesimbufi	W AH1 S IY1 M P UW1 F IY1
wesimbuhe	W AH1 S IY1 M P UW1 HH AH1
wesimbuhebi	W AH1 S IY1 M P UW1 HH AH1 P IY1
wesimbuhede	W AH1 S IY1 M P UW1 HH AH1 T AH1
wesimbuhejuwan	W AH1 S IY1 M P UW1 HH AH1 JH UW1 AW1 N
wesimbuhekv	W AH1 S IY1 M P UW1 HH AH1 K AO1
wesimbuhengge	W AH1 S IY1 M P UW1 HH AH1 NG NG AH1
wesimbuheni	W AH1 S IY1 M P UW1 HH AH1 N IY1
wesimbuki	W AH1 S IY1 M P UW1 K IY1
wesimbum	W AH1 S IY1 M P UW1 M
wesimbuma	W AH1 S IY1 M P UW1 M AW1
wesimbumbi	W AH1 S IY1 M P UW1 M P IY1
wesimbume	W AH1 S IY1 M P UW1 M AH1
wesimbuqi	W AH1 S IY1 M P UW1 K IY1
wesimbuqibe	W AH1 S IY1 M P UW1 K IY1 P AH1
wesimbura	W AH1 S IY1 M P UW1 R AW1
wesimburahv	W AH1 S IY1 M P UW1 R AW1 HH AO1
wesimburakv	W AH1 S IY1 M P UW1 R AW1 K AO1
wesimburakvqi	W AH1 S IY1 M P UW1 R AW1 K AO1 K IY1
wesimbure	W AH1 S IY1 M P UW1 R AH1
wesimburengge	W AH1 S IY1 M P UW1 R AH1 NG NG AH1
wesimbureu	W AH1 S IY1 M P UW1 R AH1 W
wesime	W AH1 S IY1 M AH1
wesin	W AH1 S IY1 N
wesinbufi	W AH1 S IY1 N P UW1 F IY1
wesinbure	W AH1 S IY1 N P UW1 R AH1
wesinembi	W AH1 S IY1 N AH1 M P IY1
wesinerahv	W AH1 S IY1 N AH1 R AW1 HH AO1
wesinere	W AH1 S IY1 N AH1 R AH1
wesingge	W AH1 S IY1 NG NG AH1
wesinu	W AH1 S IY1 N UW1
wesinure	W AH1 S IY1 N UW1 R AH1
wesiqi	W AH1 S IY1 K IY1
wesira	W AH1 S IY1 R AW1
wesirakv	W AH1 S IY1 R AW1 K AO1
wesire	W AH1 S IY1 R AH1
wesirengge	W AH1 S IY1 R AH1 NG NG AH1
weski	W AH1 S K IY1
wetabure	W AH1 T AW1 P UW1 R AH1
wetafi	W AH1 T AW1 F IY1
wetebure	W AH1 T AH1 P UW1 R AH1
wetefi	W AH1 T AH1 F IY1
wetehengge	W AH1 T AH1 HH AH1 NG NG AH1
weteki	W AH1 T AH1 K IY1
weteme	W AH1 T AH1 M AH1
weten	W AH1 T AH1 N
weu	W AH1 W
weukenehe	W AH1 W K AH1 N AH1 HH AH1
weulere	W AH1 W L AH1 R AH1
wexelembi	W AH1 SH AH1 L AH1 M P IY1
wexem	W AH1 SH AH1 M
wexen	W AH1 SH AH1 N
weyei	W AH1 JH AE1 JH
wha	W HH AW1
wihe	W IY1 HH AH1
wjesihun	W JH AH1 S IY1 HH UW1 N
wka	W K AW1
wkan	W K AW1 N
wn	W N
wn'	W N
woholon	W OW1 HH OW1 L OW1 N
wolofi	W OW1 L OW1 F IY1
won	W OW1 N
wonde	W OW1 N T AH1
wonji	W OW1 N JH IY1
worgon	W OW1 R K OW1 N
worgoxoho	W OW1 R K OW1 SH OW1 HH OW1
worgoxome	W OW1 R K OW1 SH OW1 M AH1
woriha	W OW1 R IY1 HH AW1
woyo	W OW1 JH OW1
wrahilame	W R AW1 HH IY1 L AW1 M AH1
wu	W UW1
wudeqi	W UW1 T AH1 K IY1
wuhexeme	W UW1 HH AH1 SH AH1 M AH1
wui	W UW1 JH
wujin	W UW1 JH IY1 N
wulehun	W UW1 L AH1 HH UW1 N
wulgiyan	W UW1 L K JH AW1 N
wulu	W UW1 L UW1
wuma	W UW1 M AW1
wumereme	W UW1 M AH1 R AH1 M AH1
wun	W UW1 N
wung	W UW1 NG
wunggala	W UW1 NG N AW1 L AW1
wunghvwang	W UW1 NG HH AO1 AW1 NG
wunglu	W UW1 NG L UW1
wuniyehe	W UW1 N JH AE1 HH AH1
wunqehengge	W UW1 N CH AH1 HH AH1 NG NG AH1
wunqeme	W UW1 N CH AH1 M AH1
wunqere	W UW1 N CH AH1 R AH1
wurdan	W UW1 R T AW1 N
wusihvn	W UW1 S IY1 HH AO1 N
wuta	W UW1 T AW1
x	SH
xa	SH AW1
xab	SH AW1 P
xaban	SH AW1 P AW1 N
xabaraha	SH AW1 P AW1 R AW1 HH AW1
xabargan	SH AW1 P AW1 R K AW1 N
xabdabu	SH AW1 P T AW1 P UW1
xabi	SH AW1 P IY1
xabisa	SH AW1 P IY1 S AW1
xabisai	SH AW1 P IY1 S AW1 JH
xabitun	SH AW1 P IY1 T UW1 N
xabjuniu	SH AW1 P JH UW1 N IY1 W
xabtu	SH AW1 P T UW1
xabtun	SH AW1 P T UW1 N
xabtungga	SH AW1 P T UW1 NG N AW1
xabtungge	SH AW1 P T UW1 NG NG AH1
xaburahabi	SH AW1 P UW1 R AW1 HH AW1 P IY1
xaburambi	SH AW1 P UW1 R AW1 M P IY1
xaburame	SH AW1 P UW1 R AW1 M AH1
xaburara	SH AW1 P UW1 R AW1 R AW1
xaburu	SH AW1 P UW1 R UW1
xada	SH AW1 T AW1
xadabumbi	SH AW1 T AW1 P UW1 M P IY1
xadafi	SH AW1 T AW1 F IY1
xadaha	SH AW1 T AW1 HH AW1
xadahabi	SH AW1 T AW1 HH AW1 P IY1
xadahan	SH AW1 T AW1 HH AW1 N
xadali	SH AW1 T AW1 L IY1
xadambi	SH AW1 T AW1 M P IY1
xadambiu	SH AW1 T AW1 M P IY1 W
xadame	SH AW1 T AW1 M AH1
xadaqi	SH AW1 T AW1 K IY1
xadaqibe	SH AW1 T AW1 K IY1 P AH1
xadaquka	SH AW1 T AW1 CH UW1 K AW1
xadara	SH AW1 T AW1 R AW1
xadarahv	SH AW1 T AW1 R AW1 HH AO1
xadarakv	SH AW1 T AW1 R AW1 K AO1
xadarakvn	SH AW1 T AW1 R AW1 K AO1 N
xadarau	SH AW1 T AW1 R AW1 W
xadashvn	SH AW1 T AW1 S HH AO1 N
xaden	SH AW1 T AH1 N
xadu	SH AW1 T UW1
xaduhv	SH AW1 T UW1 HH AO1
xadume	SH AW1 T UW1 M AH1
xag'o	SH AW1 K OW1
xahaliyan	SH AW1 HH AW1 L JH AW1 N
xahan	SH AW1 HH AW1 N
xahasi	SH AW1 HH AW1 S IY1
xahon	SH AW1 HH OW1 N
xahun	SH AW1 HH UW1 N
xahurakan	SH AW1 HH UW1 R AW1 K AW1 N
xahurvn	SH AW1 HH UW1 R AO1 N
xahvkan	SH AW1 HH AO1 K AW1 N
xahvmn	SH AW1 HH AO1 M N
xahvn	SH AW1 HH AO1 N
xahvrabumbi	SH AW1 HH AO1 R AW1 P UW1 M P IY1
xahvrabume	SH AW1 HH AO1 R AW1 P UW1 M AH1
xahvrabure	SH AW1 HH AO1 R AW1 P UW1 R AH1
xahvrafi	SH AW1 HH AO1 R AW1 F IY1
xahvraka	SH AW1 HH AO1 R AW1 K AW1
xahvrakabi	SH AW1 HH AO1 R AW1 K AW1 P IY1
xahvrambi	SH AW1 HH AO1 R AW1 M P IY1
xahvrame	SH AW1 HH AO1 R AW1 M AH1
xahvrapi	SH AW1 HH AO1 R AW1 P IY1
xahvrara	SH AW1 HH AO1 R AW1 R AW1
xahvri	SH AW1 HH AO1 R IY1
xahvron	SH AW1 HH AO1 R OW1 N
xahvruka	SH AW1 HH AO1 R UW1 K AW1
xahvrun	SH AW1 HH AO1 R UW1 N
xahvrungga	SH AW1 HH AO1 R UW1 NG N AW1
xai	SH AW1 JH
xainggiyan	SH AW1 JH NG NG JH AW1 N
xaji	SH AW1 JH IY1
xajilafi	SH AW1 JH IY1 L AW1 F IY1
xajilaha	SH AW1 JH IY1 L AW1 HH AW1
xajilahabi	SH AW1 JH IY1 L AW1 HH AW1 P IY1
xajilahangge	SH AW1 JH IY1 L AW1 HH AW1 NG NG AH1
xajilambi	SH AW1 JH IY1 L AW1 M P IY1
xajilan	SH AW1 JH IY1 L AW1 N
xajilaqi	SH AW1 JH IY1 L AW1 K IY1
xajin	SH AW1 JH IY1 N
xajindara	SH AW1 JH IY1 N T AW1 R AW1
xajingga	SH AW1 JH IY1 NG N AW1
xajintu	SH AW1 JH IY1 N T UW1
xajiri	SH AW1 JH IY1 R IY1
xaju	SH AW1 JH UW1
xajulan	SH AW1 JH UW1 L AW1 N
xak	SH AW1 K
xaka	SH AW1 K AW1
xakalabumbi	SH AW1 K AW1 L AW1 P UW1 M P IY1
xakalafi	SH AW1 K AW1 L AW1 F IY1
xakalakini	SH AW1 K AW1 L AW1 K IY1 N IY1
xakalambi	SH AW1 K AW1 L AW1 M P IY1
xakalame	SH AW1 K AW1 L AW1 M AH1
xakalara	SH AW1 K AW1 L AW1 R AW1
xakan	SH AW1 K AW1 N
xakanaha	SH AW1 K AW1 N AW1 HH AW1
xakari	SH AW1 K AW1 R IY1
xakaxabumbi	SH AW1 K AW1 SH AW1 P UW1 M P IY1
xakaxahabi	SH AW1 K AW1 SH AW1 HH AW1 P IY1
xakaxambi	SH AW1 K AW1 SH AW1 M P IY1
xakaxame	SH AW1 K AW1 SH AW1 M AH1
xakaxara	SH AW1 K AW1 SH AW1 R AW1
xaksaha	SH AW1 K S AW1 HH AW1
xaksiha	SH AW1 K S IY1 HH AW1
xaksime	SH AW1 K S IY1 M AH1
xaktalambi	SH AW1 K T AW1 L AW1 M P IY1
xakxabat	SH AW1 K SH AW1 P AW1 T
xakxaha	SH AW1 K SH AW1 HH AW1
xakxahabi	SH AW1 K SH AW1 HH AW1 P IY1
xakxahalambi	SH AW1 K SH AW1 HH AW1 L AW1 M P IY1
xakxahalame	SH AW1 K SH AW1 HH AW1 L AW1 M AH1
xakxahvn	SH AW1 K SH AW1 HH AO1 N
xakxaljambi	SH AW1 K SH AW1 L JH AW1 M P IY1
xakxame	SH AW1 K SH AW1 M AH1
xakxan	SH AW1 K SH AW1 N
xakxarafi	SH AW1 K SH AW1 R AW1 F IY1
xakxari	SH AW1 K SH AW1 R IY1
xakxarjambi	SH AW1 K SH AW1 R JH AW1 M P IY1
xakxarxame	SH AW1 K SH AW1 R SH AW1 M AH1
xala	SH AW1 L AW1
xalahvma	SH AW1 L AW1 HH AO1 M AW1
xalangtu	SH AW1 L AW1 NG T UW1
xalar	SH AW1 L AW1 R
xalhvma	SH AW1 L HH AO1 M AW1
xalibuhabi	SH AW1 L IY1 P UW1 HH AW1 P IY1
xalu	SH AW1 L UW1
xamba	SH AW1 M P AW1
xambi	SH AW1 M P IY1
xame	SH AW1 M AH1
xampai	SH AW1 M P AW1 JH
xampi	SH AW1 M P IY1
xampilabumbi	SH AW1 M P IY1 L AW1 P UW1 M P IY1
xampilambi	SH AW1 M P IY1 L AW1 M P IY1
xampilara	SH AW1 M P IY1 L AW1 R AW1
xamqifi	SH AW1 M K IY1 F IY1
xan	SH AW1 N
xan'	SH AW1 N
xanaha	SH AW1 N AW1 HH AW1
xanahabi	SH AW1 N AW1 HH AW1 P IY1
xanahai	SH AW1 N AW1 HH AW1 JH
xanara	SH AW1 N AW1 R AW1
xanatai	SH AW1 N AW1 T AW1 JH
xandarakv	SH AW1 N T AW1 R AW1 K AO1
